,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
290,347860,KR7347860009,알체라,KOSDAQ,기술성장기업부,13320,2,-1690,-11.26,13880,14020,13300,1336815,18231709960,287050955040,21550372,KSQ
291,088390,KR7088390000,이녹스,KOSDAQ,우량기업부,30550,2,-350,-1.13,30200,31150,30200,25974,798238800,286737534200,9385844,KSQ
292,101730,KR7101730000,위메이드맥스,KOSDAQ,중견기업부,8590,3,0,0.0,8520,8790,8520,72345,623745340,286006558280,33295292,KSQ
293,200710,KR7200710002,에이디테크놀로지,KOSDAQ,우량기업부,21250,2,-1150,-5.13,21900,22100,21000,238267,5124038700,285325216250,13427069,KSQ
294,060370,KR7060370004,KT서브마린,KOSDAQ,중견기업부,10990,2,-120,-1.08,11000,11420,10990,406001,4533016620,285061169680,25938232,KSQ
295,030960,KR7030960009,양지사,KOSDAQ,중견기업부,17800,1,60,0.34,18500,18880,17740,487901,8948513350,284444000000,15980000,KSQ
296,090360,KR7090360009,로보스타,KOSDAQ,중견기업부,29150,2,-800,-2.67,29200,29500,28900,60439,1760473100,284212500000,9750000,KSQ
297,051360,KR7051360006,토비스,KOSDAQ,중견기업부,17450,2,-720,-3.96,18260,18670,17110,444164,7842377110,283860162100,16267058,KSQ
298,357550,KR7357550003,석경에이티,KOSDAQ,기술성장기업부,52000,1,1300,2.56,50100,52400,49900,49240,2532262050,283660000000,5455000,KSQ
299,126700,KR7126700004,하이비젼시스템,KOSDAQ,우량기업부,18960,2,-970,-4.87,19700,19730,18910,385489,7380522110,283302443520,14942112,KSQ
300,086390,KR7086390002,유니테스트,KOSDAQ,중견기업부,13370,2,-510,-3.67,13690,13690,13100,225341,3018209860,282563264620,21134126,KSQ
301,053030,KR7053030003,바이넥스,KOSDAQ,우량기업부,8890,2,-130,-1.44,9020,9050,8880,168860,1510068890,282355716720,31761048,KSQ
302,089030,KR7089030001,테크윙,KOSDAQ,우량기업부,7500,2,-60,-0.79,7410,7500,7300,220248,1622395570,280152337500,37353645,KSQ
303,256840,KR7256840000,한국비엔씨,KOSDAQ,벤처기업부,4115,1,5,0.12,4100,4415,4035,1972630,8284284790,279459702945,67912443,KSQ
304,036030,KR7036030005,케이티알파,KOSDAQ,중견기업부,5600,2,-50,-0.88,5650,5700,5510,78380,438226880,274507984800,49019283,KSQ
305,115450,KR7115450009,HLB테라퓨틱스,KOSDAQ,중견기업부,3725,2,-70,-1.84,3755,3825,3720,112235,422325040,273069305100,73307196,KSQ
306,023410,KR7023410004,유진기업,KOSDAQ,우량기업부,3520,2,-20,-0.56,3520,3540,3490,63028,221479760,272134237760,77310863,KSQ
307,419050,KR7419050000,삼기이브이,KOSDAQ,중견기업부,19030,1,750,4.1,18030,19820,18030,2950736,56604801650,272111111800,14299060,KSQ
308,182360,KR7182360008,큐브엔터,KOSDAQ,중견기업부,19710,2,-20,-0.1,19500,20050,19490,64038,1265991010,272090380770,13804687,KSQ
309,090710,KR7090710005,휴림로봇,KOSDAQ,투자주의환기종목(소속부없음),1658,2,-16,-0.96,1663,1665,1650,1064396,1761047551,271540107284,163775698,KSQ
310,265520,KR7265520007,AP시스템,KOSDAQ,우량기업부,17700,2,-280,-1.56,17890,17960,17700,76045,1350642470,270481151700,15281421,KSQ
311,144960,KR7144960002,뉴파워프라즈마,KOSDAQ,우량기업부,6190,1,60,0.98,6200,6390,6010,250236,1549288340,270457342560,43692624,KSQ
312,317330,KR7317330009,덕산테코피아,KOSDAQ,우량기업부,14710,2,-240,-1.61,15000,15100,14690,27828,410340050,270331965880,18377428,KSQ
313,441270,KR7441270006,파인엠텍,KOSDAQ,중견기업부,7410,2,-40,-0.54,7380,7500,7260,113477,834121150,269878920870,36420907,KSQ
